지점,지점명,일시,SPI6
90,속초,2021-01-01,1.45
90,속초,2021-01-02,1.46
90,속초,2021-01-03,1.51
90,속초,2021-01-04,1.54
90,속초,2021-01-05,1.64
90,속초,2021-01-06,1.69
90,속초,2021-01-07,1.74
90,속초,2021-01-08,1.75
90,속초,2021-01-09,1.75
90,속초,2021-01-10,1.76
90,속초,2021-01-11,1.49
90,속초,2021-01-12,1.41
90,속초,2021-01-13,1.45
90,속초,2021-01-14,1.34
90,속초,2021-01-15,1.23
90,속초,2021-01-16,1.26
90,속초,2021-01-17,1.29
90,속초,2021-01-18,1.3
90,속초,2021-01-19,1.34
90,속초,2021-01-20,1.36
90,속초,2021-01-21,1.38
90,속초,2021-01-22,1.39
90,속초,2021-01-23,1.4
90,속초,2021-01-24,1.35
90,속초,2021-01-25,.92
90,속초,2021-01-26,.81
90,속초,2021-01-27,.8
90,속초,2021-01-28,.84
90,속초,2021-01-29,.86
90,속초,2021-01-30,.86
90,속초,2021-01-31,.86
90,속초,2021-02-01,.88
90,속초,2021-02-02,.91
90,속초,2021-02-03,.93
90,속초,2021-02-04,.93
90,속초,2021-02-05,.52
90,속초,2021-02-06,-.1
90,속초,2021-02-07,-.16
90,속초,2021-02-08,-.11
90,속초,2021-02-09,-.13
90,속초,2021-02-10,-.21
90,속초,2021-02-11,-.18
90,속초,2021-02-12,-.37
90,속초,2021-02-13,-.35
90,속초,2021-02-14,-.3
90,속초,2021-02-15,-.3
90,속초,2021-02-16,-.23
90,속초,2021-02-17,-.21
90,속초,2021-02-18,-.15
90,속초,2021-02-19,-.11
90,속초,2021-02-20,-.05
90,속초,2021-02-21,-.07
90,속초,2021-02-22,-.16
90,속초,2021-02-23,-.25
90,속초,2021-02-24,-.21
90,속초,2021-02-25,-.15
90,속초,2021-02-26,-.1
90,속초,2021-02-27,-.06
90,속초,2021-02-28,.03
90,속초,2021-03-01,.09
90,속초,2021-03-02,.55
90,속초,2021-03-03,-.08
90,속초,2021-03-04,-.4
90,속초,2021-03-05,-.4
90,속초,2021-03-06,-.37
90,속초,2021-03-07,-.53
90,속초,2021-03-08,-2.01
90,속초,2021-03-09,-2.02
90,속초,2021-03-10,-2.06
90,속초,2021-03-11,-2.08
90,속초,2021-03-12,-2.02
90,속초,2021-03-13,-2.09
90,속초,2021-03-14,-2.17
90,속초,2021-03-15,-2.17
90,속초,2021-03-16,-2.15
90,속초,2021-03-17,-2.11
90,속초,2021-03-18,-2.06
90,속초,2021-03-19,-2.06
90,속초,2021-03-20,-2.05
90,속초,2021-03-21,-2.05
90,속초,2021-03-22,-1.98
