지점,지점명,일시,SPI6
238,금산,2022-01-01,.21
238,금산,2022-01-02,.26
238,금산,2022-01-03,.3
238,금산,2022-01-04,.17
238,금산,2022-01-05,.18
238,금산,2022-01-06,0
238,금산,2022-01-07,-.05
238,금산,2022-01-08,-.19
238,금산,2022-01-09,-.6
238,금산,2022-01-10,-.55
238,금산,2022-01-11,-.65
238,금산,2022-01-12,-.62
238,금산,2022-01-13,-.55
238,금산,2022-01-14,-.48
238,금산,2022-01-15,-.41
238,금산,2022-01-16,-.38
238,금산,2022-01-17,-.32
238,금산,2022-01-18,-.24
238,금산,2022-01-19,-.21
238,금산,2022-01-20,-.25
238,금산,2022-01-21,-.24
238,금산,2022-01-22,-.21
238,금산,2022-01-23,-.18
238,금산,2022-01-24,-.13
238,금산,2022-01-25,-.11
238,금산,2022-01-26,-.06
238,금산,2022-01-27,-.01
238,금산,2022-01-28,0
238,금산,2022-01-29,.02
238,금산,2022-01-30,.06
238,금산,2022-01-31,.11
238,금산,2022-02-01,.09
238,금산,2022-02-02,-.07
238,금산,2022-02-03,-.06
238,금산,2022-02-04,-.01
238,금산,2022-02-05,.03
238,금산,2022-02-06,.06
238,금산,2022-02-07,.11
238,금산,2022-02-09,.2
238,금산,2022-02-10,.24
238,금산,2022-02-11,.29
238,금산,2022-02-12,.33
238,금산,2022-02-13,.37
238,금산,2022-02-14,.43
238,금산,2022-02-15,.47
238,금산,2022-02-16,.53
238,금산,2022-02-17,.57
238,금산,2022-02-18,.62
238,금산,2022-02-19,.67
238,금산,2022-02-20,.69
238,금산,2022-02-21,.76
238,금산,2022-02-22,.69
238,금산,2022-02-23,.7
238,금산,2022-02-24,.28
238,금산,2022-02-25,-.35
238,금산,2022-02-26,-.34
238,금산,2022-02-27,-.27
238,금산,2022-02-28,-.55
238,금산,2022-03-01,-.51
238,금산,2022-03-02,-.69
238,금산,2022-03-03,-.63
238,금산,2022-03-04,-.59
238,금산,2022-03-05,-.59
238,금산,2022-03-06,-.6
238,금산,2022-03-07,-.8
238,금산,2022-03-08,-.83
238,금산,2022-03-09,-.84
238,금산,2022-03-10,-.82
238,금산,2022-03-11,-.82
238,금산,2022-03-12,-.77
238,금산,2022-03-13,-.73
238,금산,2022-03-14,-.45
238,금산,2022-03-15,-.35
238,금산,2022-03-16,-.33
238,금산,2022-03-17,-.31
238,금산,2022-03-18,-.75
238,금산,2022-03-19,-.66
238,금산,2022-03-20,-.5
238,금산,2022-03-21,-.49
238,금산,2022-03-22,-.88
238,금산,2022-03-23,-.94
238,금산,2022-03-24,-.94
238,금산,2022-03-25,-.87
238,금산,2022-03-26,-.63
238,금산,2022-03-27,-.42
238,금산,2022-03-28,-.41
238,금산,2022-03-29,-.41
238,금산,2022-03-30,-.91
238,금산,2022-03-31,-.88
238,금산,2022-04-01,-.89
238,금산,2022-04-02,-.86
238,금산,2022-04-03,-.85
238,금산,2022-04-04,-.85
238,금산,2022-04-05,-.86
238,금산,2022-04-06,-.88
238,금산,2022-04-07,-.89
238,금산,2022-04-08,-.86
238,금산,2022-04-09,-.84
238,금산,2022-04-10,-.94
238,금산,2022-04-11,-.99
238,금산,2022-04-12,-1.11
238,금산,2022-04-13,-1.3
238,금산,2022-04-14,-.9
238,금산,2022-04-15,-.87
238,금산,2022-04-16,-.99
238,금산,2022-04-17,-1.14
238,금산,2022-04-18,-1.17
238,금산,2022-04-19,-1.26
238,금산,2022-04-20,-1.38
238,금산,2022-04-21,-1.42
238,금산,2022-04-22,-1.42
238,금산,2022-04-23,-1.45
238,금산,2022-04-24,-1.46
238,금산,2022-04-25,-1.45
238,금산,2022-04-26,-1.28
238,금산,2022-04-27,-1.06
238,금산,2022-04-28,-1.09
238,금산,2022-04-29,-1.08
238,금산,2022-04-30,-.96
238,금산,2022-05-01,-.96
238,금산,2022-05-02,-.95
238,금산,2022-05-03,-.94
238,금산,2022-05-04,-.99
238,금산,2022-05-05,-1.01
238,금산,2022-05-06,-1.02
238,금산,2022-05-07,-1.04
238,금산,2022-05-08,-1.06
238,금산,2022-05-09,-1.19
238,금산,2022-05-10,-1.24
238,금산,2022-05-11,-1.31
238,금산,2022-05-12,-1.34
238,금산,2022-05-13,-1.38
238,금산,2022-05-14,-1.48
238,금산,2022-05-15,-1.52
238,금산,2022-05-16,-1.51
238,금산,2022-05-17,-1.57
238,금산,2022-05-18,-1.6
238,금산,2022-05-19,-1.66
238,금산,2022-05-20,-1.67
238,금산,2022-05-21,-1.66
238,금산,2022-05-22,-1.65
238,금산,2022-05-23,-1.73
238,금산,2022-05-24,-1.71
238,금산,2022-05-25,-1.69
238,금산,2022-05-26,-1.69
238,금산,2022-05-27,-1.67
238,금산,2022-05-28,-1.67
238,금산,2022-05-29,-1.72
238,금산,2022-05-30,-1.73
238,금산,2022-05-31,-2.05
238,금산,2022-06-01,-2.06
238,금산,2022-06-02,-2.1
238,금산,2022-06-03,-2.11
238,금산,2022-06-04,-2.16
238,금산,2022-06-05,-2.15
238,금산,2022-06-06,-2.02
238,금산,2022-06-07,-2.02
238,금산,2022-06-08,-1.54
238,금산,2022-06-09,-1.61
