지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa)
90,속초,1990-07-01,16.5,14.9,19.5,.3,2.2,15.2,92,1012.8
90,속초,1990-07-02,16.2,14.9,17.2,21.3,3.2,15.6,95.5,1008.8
90,속초,1990-07-03,17.4,16.6,19.3,6.1,5.3,16.4,94.3,1003.8
90,속초,1990-07-04,21.3,16.4,28.6,,3.1,17.3,80,1006.6
90,속초,1990-07-05,18.6,17.6,20.7,,2.1,18.1,96.8,1008.3
90,속초,1990-07-06,21.3,19.2,25,,1.7,19.6,90.3,1006
90,속초,1990-07-07,20.1,19.3,21.2,20.8,2.1,19.6,97,1005.3
90,속초,1990-07-08,20.6,19.5,22.3,0,2,19.7,94.8,1002.6
90,속초,1990-07-09,20.7,18.5,24.7,,1.9,19.8,94.5,1007.5
90,속초,1990-07-10,24.5,21.1,28.2,,1.8,21.8,85.5,1007.3
90,속초,1990-07-11,22.7,21.6,24.7,45.3,1.7,22.2,96.8,1004
90,속초,1990-07-12,21.1,20,22.2,43,4.6,20.6,96.8,999
90,속초,1990-07-13,19.5,17.9,21.4,0,1.6,18.8,95.8,1000.5
90,속초,1990-07-14,18.7,17.5,19.9,17.1,1.9,18.2,96.3,1003.3
90,속초,1990-07-15,19.5,18.6,20.8,12.1,1.2,19.2,98,1003.8
90,속초,1990-07-16,19.7,17.9,22,.2,2.9,19,95.5,1000.5
90,속초,1990-07-17,21.5,18.7,27.2,14.5,1.6,20.3,93.3,998.9
90,속초,1990-07-18,21.1,20.4,21.9,55.4,2,20.5,96.5,998.8
90,속초,1990-07-19,20.7,20.1,22.9,.7,1.8,20.3,97.5,1007.6
90,속초,1990-07-20,20.6,19.5,22.3,.7,2.4,20.2,97,1011
90,속초,1990-07-21,23,19.5,27.6,8.3,2.1,20.9,89,1009.3
90,속초,1990-07-22,25.4,22.5,28.5,3,2.4,21.9,81.5,1011
90,속초,1990-07-23,24.5,22.1,28.2,.7,1.7,21.5,83.8,1007.7
90,속초,1990-07-24,26.9,23.6,31.8,5.2,5.5,20.7,69.5,1000.6
90,속초,1990-07-25,25.4,22.1,30.7,.1,2.6,20.1,74,1001.2
90,속초,1990-07-26,21.1,19.3,22.8,7.8,2.2,20.5,96.3,1007.4
90,속초,1990-07-27,20.9,19.1,23,.2,1.8,20.4,96.5,1008.1
90,속초,1990-07-28,25.6,20.5,33.2,,1.7,22.9,87.3,1008.8
90,속초,1990-07-29,22.9,21.1,25.4,,2.5,22.1,95.3,1012.4
90,속초,1990-07-30,22.2,20.8,25.6,0,2.2,21.6,96.3,1012
90,속초,1990-07-31,24,22.2,27.2,0,2.3,23.1,96,1008.1
90,속초,1990-08-01,27.9,23.6,32.8,,2,22.6,73.8,1005
90,속초,1990-08-02,25.9,23.2,29.3,,1.5,24.1,90.3,1004.6
90,속초,1990-08-03,25.6,22.4,29.1,.5,1.5,24,91.5,1005.1
90,속초,1990-08-04,26.7,23.9,30.6,,1.7,25.4,92.8,1004.3
90,속초,1990-08-05,26.6,23.1,30.9,,1.7,22.4,80.8,1002.4
90,속초,1990-08-06,27.1,23.2,31.1,,1.4,23.4,80.3,1000.8
90,속초,1990-08-07,26,24,29.8,,2.4,24.3,90.5,1003
90,속초,1990-08-08,26.5,23.7,30.8,,1.7,24.6,89.3,1005.7
90,속초,1990-08-09,25,22.7,29.3,2.2,2.8,23.4,90.5,1004.1
90,속초,1990-08-10,22.6,21.5,24.4,2.3,3.9,21.6,94.3,1001.7
90,속초,1990-08-11,23.8,20.7,26.8,,2.3,22.3,91.5,1005.8
90,속초,1990-08-12,25.3,20.8,29.3,,1.6,20.9,77.8,1007.9
90,속초,1990-08-13,26.3,20.8,31.2,,1.9,22.3,79.3,1005.8
90,속초,1990-08-14,23.7,22.3,26.3,9.3,2.5,22.5,93.3,1002.5
90,속초,1990-08-15,24.2,21.7,27.9,,1.7,23.1,93.3,1008.4
90,속초,1990-08-16,22.7,18.7,26,6.4,3,21,90.5,1011.8
90,속초,1990-08-17,21.4,18.2,26.2,8.3,1.8,19.3,88,1011.6
90,속초,1990-08-18,22.8,17.8,26.3,,2.6,19.8,83.5,1010.7
90,속초,1990-08-19,22.1,20.7,24.8,.3,1.5,20.8,92.8,1005.3
90,속초,1990-08-20,24,21.8,27.3,10.6,1.7,23.2,95.8,1005.8
90,속초,1990-08-21,23,22.3,24,40.6,1.1,22.4,96.5,1003.3
90,속초,1990-08-22,23.5,21.8,27.4,,1.3,23,96.8,994.8
90,속초,1990-08-23,27.7,24.1,30.7,,5,17.5,54.3,996.1
90,속초,1990-08-24,27,23.2,31.8,,2.6,18.3,59,1006.9
90,속초,1990-08-25,26.4,21.9,30.8,,2.3,21.3,74.5,1010
90,속초,1990-08-26,24,20.6,28.4,,2.2,22,89,1014.6
90,속초,1990-08-27,24,22.5,25.8,.5,3.9,21.8,87.5,1018.5
90,속초,1990-08-28,23.6,21.4,26.2,,2.8,21.1,86,1018.6
90,속초,1990-08-29,22.7,18.8,26.6,,2,20.8,89,1013.5
90,속초,1990-08-30,24.5,19.8,28.8,,2,20.6,80,1009.1
90,속초,1990-08-31,22.6,18.9,25.8,29.5,2.1,21.2,91.8,1010.1
90,속초,1990-09-01,19.7,18.3,20.6,107.5,2.9,19.1,96.3,1011.7
90,속초,1990-09-02,21.9,19.3,26.8,30.6,3,21,94.5,1002.3
90,속초,1990-09-03,19.5,16.8,24.3,46.3,2.8,15.9,81.3,1006.2
90,속초,1990-09-04,20.5,17,23.9,,2.3,15.7,74.8,1014.9
90,속초,1990-09-05,20.6,18.2,24,,2.5,19,90.8,1016.8
90,속초,1990-09-06,20.8,19.1,22.8,,1.8,19.7,93.3,1019.6
90,속초,1990-09-07,21.3,19.8,24.8,.6,1.6,20,92.5,1021.5
90,속초,1990-09-08,22.6,20.1,24.9,,2.2,21,92.3,1015.8
90,속초,1990-09-09,22.3,19.6,28.3,5,2.7,21,92.5,1010.9
90,속초,1990-09-10,18.4,15.5,20.6,116.5,2.1,17.6,95.5,1014.5
90,속초,1990-09-11,18,16.2,19.1,240.8,4.3,17.7,98.5,1009
90,속초,1990-09-12,18.6,15.9,21.9,7.7,2.9,17,91,1009.9
90,속초,1990-09-13,18.5,15,22.8,,3,15.2,80.8,1016.1
90,속초,1990-09-14,19.5,16,23.9,,2.1,17.9,90.3,1014.6
90,속초,1990-09-15,20.5,16,23.8,,2.3,15.7,74.5,1013.8
90,속초,1990-09-16,18.8,14.4,22.7,,2.3,15.9,84.5,1015.2
90,속초,1990-09-17,19.6,16,23.8,,2.7,15.7,79.3,1007
90,속초,1990-09-18,17.3,14.1,22.3,,4.3,5.4,47,1008.3
90,속초,1990-09-19,17,12.8,23.8,,3.8,12.3,74.5,1012
90,속초,1990-09-20,17.9,12.7,22.5,,2.4,12.4,70.8,1014.5
